Kakaku	price; value
Kako	Past
Kakudai	enlargement
Kakunin	confirmation
Kami	Paper
Kami	hair
Kamisama	god
Kanarazu	always /certainly
Kandou	deep emotional
Kanji	sense,feeling
Kanjo	emotion; feeling
Kankaku	sense; sensation
Kankei	relation
Kankou	Sightseeing
Kankyou	Environment
Kanojo	She
Kanou	Possible
Kanren	relation; connection
Kanri	management
kansatsu	observation
Kansei	complete
Kansha	patient
Kansha	thanks; gratitude
Kanshin	interest
Kantan	simple; easy
Kantoku	supervision
Kanzen	completeness
